strategy,meta,task_id,task_name,model,est_cost,est_quality,total_latency_s
router,完整路由系统,T01,论文精读-顶会论文,Claude-3.5-Sonnet,0.4455,86.8,193.68
router,完整路由系统,T02,文献检索-系统综述,DeepSeek-V3,0.064,90.36,268.984
router,完整路由系统,T03,代码复现-工程代码审查重构,Claude-3.5-Sonnet,0.6075,92.0,327.773
router,完整路由系统,T04,公式推导-竞赛级数学,Qwen2.5-72B-Instruct,0.034,83.1,85.115
router,完整路由系统,T05,数据分析-统计建模,Gemini-2.0-Flash,0.00864,75.6,77.167
router,完整路由系统,T06,学术写作-基金申请书,Gemini-2.0-Flash,0.0135,86.65,104.667
router,完整路由系统,T07,图表解读-多模态图表,Gemini-2.0-Flash,0.0081,88.95,75.5
router,完整路由系统,T08,审稿回复-多轮意见,Gemini-2.0-Flash,0.010935,90.4,90.5
router,完整路由系统,T09,论文精读-方法章节,Gemini-2.0-Flash,0.00729,86.74,60.5
router,完整路由系统,T10,文献检索-快速筛选,Gemini-2.0-Flash,0.012285,91.16,132.167
best_quality,全量能力最强(Claude-3.5-Sonnet),T01,论文精读-顶会论文,Claude-3.5-Sonnet,0.4455,86.8,255.045
best_quality,全量能力最强(Claude-3.5-Sonnet),T02,文献检索-系统综述,Claude-3.5-Sonnet,0.70875,91.2,418.682
best_quality,全量能力最强(Claude-3.5-Sonnet),T03,代码复现-工程代码审查重构,Claude-3.5-Sonnet,0.6075,92.0,327.773
best_quality,全量能力最强(Claude-3.5-Sonnet),T04,公式推导-竞赛级数学,Claude-3.5-Sonnet,0.232875,71.1,100.5
best_quality,全量能力最强(Claude-3.5-Sonnet),T05,数据分析-统计建模,Claude-3.5-Sonnet,0.2835,74.55,167.773
best_quality,全量能力最强(Claude-3.5-Sonnet),T06,学术写作-基金申请书,Claude-3.5-Sonnet,0.455625,85.0,227.773
best_quality,全量能力最强(Claude-3.5-Sonnet),T07,图表解读-多模态图表,Claude-3.5-Sonnet,0.26325,89.0,164.136
best_quality,全量能力最强(Claude-3.5-Sonnet),T08,审稿回复-多轮意见,Claude-3.5-Sonnet,0.3645,88.0,196.864
best_quality,全量能力最强(Claude-3.5-Sonnet),T09,论文精读-方法章节,Claude-3.5-Sonnet,0.243,86.8,131.409
best_quality,全量能力最强(Claude-3.5-Sonnet),T10,文献检索-快速筛选,Claude-3.5-Sonnet,0.38475,91.2,287.773
cheapest,全量成本最低(Gemini-2.0-Flash),T01,论文精读-顶会论文,Gemini-2.0-Flash,0.0135,86.74000000000001,117.167
cheapest,全量成本最低(Gemini-2.0-Flash),T02,文献检索-系统综述,Gemini-2.0-Flash,0.0216,91.16,192.167
cheapest,全量成本最低(Gemini-2.0-Flash),T03,代码复现-工程代码审查重构,Gemini-2.0-Flash,0.018225,88.4,150.5
cheapest,全量成本最低(Gemini-2.0-Flash),T04,公式推导-竞赛级数学,Gemini-2.0-Flash,0.00675,73.3,46.333
cheapest,全量成本最低(Gemini-2.0-Flash),T05,数据分析-统计建模,Gemini-2.0-Flash,0.00864,75.6,77.167
cheapest,全量成本最低(Gemini-2.0-Flash),T06,学术写作-基金申请书,Gemini-2.0-Flash,0.0135,86.65,104.667
cheapest,全量成本最低(Gemini-2.0-Flash),T07,图表解读-多模态图表,Gemini-2.0-Flash,0.0081,88.95,75.5
cheapest,全量成本最低(Gemini-2.0-Flash),T08,审稿回复-多轮意见,Gemini-2.0-Flash,0.010935,90.4,90.5
cheapest,全量成本最低(Gemini-2.0-Flash),T09,论文精读-方法章节,Gemini-2.0-Flash,0.00729,86.74000000000001,60.5
cheapest,全量成本最低(Gemini-2.0-Flash),T10,文献检索-快速筛选,Gemini-2.0-Flash,0.012285,91.16,132.167
random,随机路由,T01,论文精读-顶会论文,Claude-3.5-Sonnet,0.4455,86.8,255.045
random,随机路由,T02,文献检索-系统综述,GPT-4o,0.54,89.03999999999999,383.833
random,随机路由,T03,代码复现-工程代码审查重构,DeepSeek-V3,0.054,82.6,200.5
random,随机路由,T04,公式推导-竞赛级数学,Qwen2.5-Max,0.17,72.3,69.25
random,随机路由,T05,数据分析-统计建模,Qwen2.5-Max,0.232,70.65,115.5
random,随机路由,T06,学术写作-基金申请书,Gemini-2.0-Flash,0.0135,86.65,104.667
random,随机路由,T07,图表解读-多模态图表,Claude-3.5-Sonnet,0.26325,89.0,164.136
random,随机路由,T08,审稿回复-多轮意见,GPT-4o-mini,0.0164025,87.4,120.5
random,随机路由,T09,论文精读-方法章节,Claude-3.5-Sonnet,0.243,86.8,131.409
random,随机路由,T10,文献检索-快速筛选,Qwen2.5-72B-Instruct,0.0696,88.44,243.577
