Model_Name,Model_Type,Input_Price_USD,Input_Price_RMB,Output_Price_USD,Output_Price_RMB,Vision_Pricing_Rule,RPM_Limit,TPM_Limit,Context_Window,Structured_Output,MMLU,MMLU_Pro,HumanEval,IFEval,MATH,Long_Context_NIAH,Science_PubMedQA,Benchmark_Notes,Data_Source,Data_Source_URL,Price_Note,Collection_Date
GPT-4o,Closed,2.5,16.875,10,67.5,85 + 170 * ceil(W/512) * ceil(H/512) tokens/图（官方）,500,200000,131072 (128K),Yes (JSON Mode + Function Calling),88.7,72.6,90.2,87.3,76.6,100,82.1,MMLU-Pro 为 TIGER-Lab 5-shot；HumanEval pass@1；IFEval prompt-level；MATH 4-shot；NIAH@128K 官方长文本测试,OpenAI API Pricing / GPT-4o System Card,https://openai.com/api/pricing/ ; https://openai.com/index/hello-gpt-4o/,官方美元报价，RMB 按汇率 1 USD=6.75 换算；TPM 为官方默认 tier1 值，随账号 tier 提升,2026/8/11
Claude-3.5-Sonnet,Closed,3,20.25,15,101.25,ceil((W*H) / 750) tokens/图（官方）,50,40000,200000 (200K),Yes (JSON + Tool Use),88.3,78,92,88,71.1,100,84.8,MMLU-Pro 为 TIGER-Lab 口径；HumanEval pass@1；IFEval prompt-level；MATH 4-shot；NIAH@200K 官方长文本测试,Anthropic Pricing / Claude 3.5 Sonnet 发布页,https://www.anthropic.com/news/claude-3-5-sonnet ; https://www.anthropic.com/pricing,官方美元报价，RMB 按汇率换算；上下文窗口为 200K（已修正原 128K 的错误）；TPM 为默认 tier 值,2026/8/11
Gemini-2.0-Flash,Closed,0.1,0.675,0.4,2.7,258 tokens/图（官方 Gemini 视觉计费）,1000,4000000,1048576 (1M),Yes (JSON Schema + Function Calling),85.9,77.9,88.4,90.4,73.3,100,N/A（官方未公布）,MMLU-Pro 77.9 为 Google 发布口径；HumanEval/MATH 不同聚合站略有差异（89.5~90.4），沿用原采集值待复核；NIAH@1M 官方长文本测试,Google AI Studio Pricing / Gemini 2.0 发布博客,https://ai.google.dev/pricing ; https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,官方美元报价，RMB 按汇率换算；上下文 1M；RPM/TPM 为官方层级默认值,2026/8/11
Qwen2.5-Max,Closed,2.962962963,20,8.888888889,60,(W*H) / (28*28) tokens（官方 qwen 视觉规则）,1200,1000000,128000 (128K),Yes (OpenAI 兼容 JSON + Function Calling),87.9,69,89.3,90.8,72.3,100,N/A（官方未公布）,MMLU 87.9 / MMLU-Pro 69.0 / HumanEval 89.3 取自官方发布图；IFEval、MATH 沿用原采集值待复核；NIAH@128K,Qwen2.5-Max 官方博客 / 阿里云百炼定价,https://qwenlm.github.io/blog/qwen2.5-max/ ; https://help.aliyun.com/zh/model-studio/models,官方人民币报价（输入20元/输出60元每1M tokens），USD 按汇率反推；RPM/TPM 为百炼平台默认值,2026/8/11
DeepSeek-V3,Open,0.296296296,2,1.185185185,8,N/A（纯文本模型，不支持视觉输入）,300,100000,128000 (128K),Yes (JSON Output + Function Calling),88.5,75.9,82.6,88,80.2,100,N/A（官方未公布）,MMLU-Pro 75.9 / HumanEval 82.6 (pass@1) / MATH 80.2（完整 MATH 口径，经人工核实，非官方 MATH-500 的 90.2）；IFEval 88.0 参考第三方评测；NIAH@128K,DeepSeek-V3 官方发布文档 / DeepSeek 开放平台定价,https://api-docs.deepseek.com/news/news1226/ ; https://api-docs.deepseek.com/quick_start/pricing,官方人民币报价（输入2元/输出8元，缓存命中输入0.5元），USD 按汇率反推；权重开源（Open）,2026/8/11
GLM-4,Closed,0.740740741,5,0.740740741,5,N/A（GLM-4 为文本模型，视觉需 GLM-4V）,1000,1000000,128000 (128K),Yes (Function Calling + JSON),81.5,N/A（官方未公布）,72,88,47.9,100,N/A（官方未公布）,MMLU 81.5 / HumanEval 72.0 / MATH 47.9 / GSM8K 87.1 取自 GLM-4 官方发布与技术报告（arXiv:2406.12793）；IFEval 88.0 参考官方报告；MMLU-Pro 官方未公布；NIAH@128K,GLM-4 技术报告 / 智谱开放平台定价,https://arxiv.org/abs/2406.12793 ; https://open.bigmodel.cn/pricing,官方人民币报价（输入5元/输出5元每1M tokens），USD 按汇率反推；API 版为闭源，GLM-4-9B 权重开源,2026/8/11
Llama-3.1-405B,Open,3.5,23.625,3.5,23.625,N/A（纯文本模型，不支持视觉输入）,100,100000,128000 (128K),Yes (Together 托管支持 JSON + Function Calling),87.3,73.3,89,88.6,73.8,100,N/A（官方未公布）,MMLU 87.3 / MMLU-Pro 73.3 / HumanEval 89.0 / IFEval 88.6 / MATH 73.8 / GSM8K 96.4 取自 Meta Llama 3.1 官方发布；NIAH@128K 官方长文本测试,Meta Llama 3.1 发布 / Together AI 定价（第三方托管）,https://ai.meta.com/blog/meta-llama-3-1/ ; https://www.together.ai/pricing,Meta 无官方托管 API，此处为 Together AI 第三方托管价（当前 3.5 美元/1M tokens，已从早期 4 美元修正）；RMB 按汇率换算,2026/8/11
Moonshot-v1-128k,Closed,1.481481481,10,4.444444444,30,N/A（纯文本模型；视觉请用 moonshot-v1-128k-vision-preview，60元/1M tokens）,200,3200000,131072 (128K),Yes (Function Calling + JSON),N/A（官方未公布）,N/A（官方未公布）,N/A（官方未公布）,N/A（官方未公布）,N/A（官方未公布）,100,N/A（官方未公布）,Moonshot 官方未公布 v1 系列详细 benchmark，故标注 N/A（题目允许无公开数据则标注）；NIAH@128K 为官方长文本能力宣传,Kimi 开放平台定价,https://platform.kimi.com/docs/pricing/chat-v1,官方人民币报价（输入10元/输出30元，2025-04 调价后），USD 按汇率反推；RPM/TPM 为平台默认值,2026/8/11
GPT-4o-mini,Closed,0.15,1.0125,0.6,4.05,85 + 170 * ceil(W/512) * ceil(H/512) tokens/图（官方，同 GPT-4o）,500,200000,131072 (128K),Yes (JSON Mode + Function Calling),82,72.3,87.2,87.4,N/A（官方仅公布 MATH-500=88.4，未采用以避免与完整 MATH 口径混淆）,N/A（官方未公布）,N/A（官方未公布）,MMLU 82 / MMLU-Pro 72.3 / HumanEval 87.2 / IFEval 87.4 (prompt-level) 取自 OpenAI GPT-4o mini 发布页；官方仅公布 MATH-500=88.4（非完整 MATH 口径），为避免与池内完整 MATH 口径混淆，MATH 列按缺失处理；NIAH 官方未公布,OpenAI GPT-4o mini 发布 / OpenAI API Pricing,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/ ; https://openai.com/api/pricing/,官方美元报价（输入0.15/输出0.60 每1M tokens），RMB 按汇率 6.75 换算；TPM 为官方默认 tier1 值,2026/8/11
Qwen2.5-72B-Instruct,Open,0.592592593,4,1.777777778,12,N/A（纯文本模型；视觉请用 Qwen2.5-VL）,1200,1000000,131072 (128K),Yes (OpenAI 兼容 JSON + Function Calling),86,71.1,86.6,84.1,83.1,N/A（官方未公布）,N/A（官方未公布）,MMLU 86.0 / MMLU-Pro 71.1 / HumanEval 86.6 / IFEval 84.1 (strict prompt) / MATH 83.1（完整 MATH 口径）取自 Qwen2.5 官方技术报告；NIAH 官方未公布,Qwen2.5 官方技术报告 / 阿里云百炼定价,https://qwenlm.github.io/blog/qwen2.5/ ; https://help.aliyun.com/zh/model-studio/models,阿里云百炼托管价（输入4元/输出12元 每1M tokens），USD 按汇率反推；权重开源（Open）,2026/8/11
